question_id,question,sub_question,column_name,question_format,system_prompt_id,subpopulation,model_answer,model_reasoning,categories,model_distribution,true_distribution,kl_divergence,cross_entropy,expected_text
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,ai_research_assistant,cluster_0,Important,,"['Important', 'Not mentioned']","[0.999876550495327, 0.00012344950467295417]","[0.512280701754386, 0.48771929824561405]",3.6965345372662064,4.38938005622053,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,survey_respondent,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9984986005950472, 0.0015013994049527927]","[0.512280701754386, 0.48771929824561405]",2.4787617970000397,3.171607315954363,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,values_reflection,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9978168956537871, 0.0021831043462128873]","[0.512280701754386, 0.48771929824561405]",2.296533816788326,2.989379335742649,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,ai_opinion_simulator,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9997694634549957, 0.00023053654500419248]","[0.512280701754386, 0.48771929824561405]",3.3919710552769144,4.084816574231238,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,civic_participant,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9997694795238075, 0.00023052047619256854]","[0.512280701754386, 0.48771929824561405]",3.3920050431399464,4.084850562094269,Important
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,ai_research_assistant,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.16343503267824197, 0.8299915689274945, 0.0035926868646412335, 0.00217907473415176, 0.0008016367954705587]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",2.003752337202752,3.3150026338840326,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,survey_respondent,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.16168218376655402, 0.8210899289536884, 0.00856281615147668, 0.0027799393911128326, 0.005885131737168095]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",1.560948838341802,2.8721991350230827,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,values_reflection,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.12253852101729533, 0.7051605114676226, 0.06840273533625743, 0.0043728395281691056, 0.09952539265065562]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",0.6692510711915046,1.980501367872785,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,ai_opinion_simulator,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.14765131002884682, 0.8496746238077536, 0.0015020280685134099, 0.0010323277879323786, 0.00013971030695377268]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",2.490000864500594,3.8012511611818747,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,civic_participant,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.22891775927137756, 0.7051163181101548, 0.01957538939698844, 0.004949433542855077, 0.041441099678624096]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",1.1264032268900035,2.4376535235712837,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,ai_research_assistant,cluster_0,Strongly disagree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.011909440945388396, 0.011909440945388396, 0.2392075443588814, 0.7363806375997707, 0.0005929361505710903]","[0.0018083182640144665, 0.027124773960216998, 0.3996383363471971, 0.546112115732369, 0.02531645569620253]",0.15581972325303683,1.055064755672694,Strongly disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,survey_respondent,cluster_0,Strongly disagree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.025935164166210018, 0.025935164166210018, 0.2788292586949391, 0.668690476373046, 0.0006099365995948016]","[0.0018083182640144665, 0.027124773960216998, 0.3996383363471971, 0.546112115732369, 0.02531645569620253]",0.1239939057370081,1.0232389381566651,Strongly disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,values_reflection,cluster_0,Disagree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.02400415037271308, 0.02400415037271308, 0.5456816944778001, 0.3754880655922156, 0.030821939184558122]","[0.0018083182640144665, 0.027124773960216998, 0.3996383363471971, 0.546112115732369, 0.02531645569620253]",0.07375223513185677,0.9729972675515138,Strongly disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,ai_opinion_simulator,cluster_0,Disagree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.04135999100892242, 0.04135999100892242, 0.6468214629541212, 0.26970102018766284, 0.0007575348403710743]","[0.0018083182640144665, 0.027124773960216998, 0.3996383363471971, 0.546112115732369, 0.02531645569620253]",0.2645938013532186,1.1638388337728758,Strongly disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,civic_participant,cluster_0,Disagree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.02084517655349732, 0.02084517655349732, 0.4740290487919058, 0.4744340315636421, 0.00984656653745748]","[0.0018083182640144665, 0.027124773960216998, 0.3996383363471971, 0.546112115732369, 0.02531645569620253]",0.03524612034931077,0.9344911527689679,Strongly disagree
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,ai_research_assistant,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.24091563646835892, 0.7420723583866898, 0.00457169286039314, 0.00457169286039314, 0.007537447262038081, 0.00033117216212687087]","[0.30018083182640143, 0.33815551537070526, 0.17721518987341772, 0.06690777576853527, 0.0216998191681736, 0.09584086799276673]",1.1941079617366264,2.71745436992756,Agree
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,survey_respondent,cluster_0,Agree strongly,,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.3950818154992434, 0.5748444870985163, 0.008438796003058708, 0.003986204977249496, 0.01576574651830963, 0.0018829499036224192]","[0.30018083182640143, 0.33815551537070526, 0.17721518987341772, 0.06690777576853527, 0.0216998191681736, 0.09584086799276673]",0.8499351621522666,2.3732815703432006,Agree
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,values_reflection,cluster_0,Agree strongly,,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.8654861085990051, 0.11716737171855039, 0.0011527109489893983, 0.0019004990605677513, 0.012392810612319609, 0.0019004990605677513]","[0.30018083182640143, 0.33815551537070526, 0.17721518987341772, 0.06690777576853527, 0.0216998191681736, 0.09584086799276673]",1.559049908471173,3.0823963166621073,Agree
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,ai_opinion_simulator,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.05076665683279185, 0.7941241484930127, 0.08936485962019058, 0.04783356241970223, 0.015529280359626564, 0.0023814922746761306]","[0.30018083182640143, 0.33815551537070526, 0.17721518987341772, 0.06690777576853527, 0.0216998191681736, 0.09584086799276673]",0.7499402655492116,2.2732866737401456,Agree
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,civic_participant,cluster_0,Agree strongly,,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.6674280749490289, 0.31528929325140964, 0.0031344687046740093, 0.0013066409548494857, 0.01094037076874347, 0.0019011513712945305]","[0.30018083182640143, 0.33815551537070526, 0.17721518987341772, 0.06690777576853527, 0.0216998191681736, 0.09584086799276673]",1.152782592013985,2.6761290002049187,Agree
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,ai_research_assistant,cluster_0,Trust somewhat,,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.0010211758428631489, 0.9882690181666263, 0.003569935330170189, 0.003569935330170189, 0.003569935330170189]","[0.10771992818671454, 0.7145421903052065, 0.06104129263913824, 0.0, 0.11669658886894076]",0.8503075381553417,1.7518673898455712,Trust somewhat
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,survey_respondent,cluster_0,Trust somewhat,,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.004583013051825015, 0.9896553380042968, 0.0019205496479593725, 0.0019205496479593725, 0.0019205496479593725]","[0.10771992818671454, 0.7145421903052065, 0.06104129263913824, 0.0, 0.11669658886894076]",0.7977611150668898,1.699320966695126,Trust somewhat
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,values_reflection,cluster_0,Trust somewhat,,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.0027574947503262465, 0.9817362578186706, 0.005168749143667721, 0.005168749143667721, 0.005168749143667721]","[0.10771992818671454, 0.7145421903052065, 0.06104129263913824, 0.0, 0.11669658886894076]",0.68226324108521,1.583823092812448,Trust somewhat
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,ai_opinion_simulator,cluster_0,Trust somewhat,,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.0007811042771546701, 0.9706379812274092, 0.009526971498478738, 0.009526971498478738, 0.009526971498478738]","[0.10771992818671454, 0.7145421903052065, 0.06104129263913824, 0.0, 0.11669658886894076]",0.7175755277017503,1.6191353794901377,Trust somewhat
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,civic_participant,cluster_0,Trust somewhat,,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.0018885472733069601, 0.9782916027883469, 0.006606616646115333, 0.006606616646115333, 0.006606616646115333]","[0.10771992818671454, 0.7145421903052065, 0.06104129263913824, 0.0, 0.11669658886894076]",0.6819242090292856,1.5834840607810676,Trust somewhat
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Trade unions,Q68,matrix_single_select,ai_research_assistant,cluster_0,Quite a lot,,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.021631851704745058, 0.49161650696355613, 0.43448733023511316, 0.051892114617272965, 0.0003721964793126459]","[0.03411131059245961, 0.36804308797127466, 0.4129263913824057, 0.10771992818671454, 0.07719928186714542]",0.3784834232304719,1.6645820454054756,Not very much
