question_id,question,sub_question,column_name,question_format,system_prompt_id,subpopulation,model_answer,model_reasoning,categories,model_distribution,true_distribution,kl_divergence,cross_entropy,expected_text
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,ai_research_assistant,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9998765555490617, 0.00012344445093819158]","[0.512280701754386, 0.48771929824561405]",3.6965545011760654,4.389400020130387,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,survey_respondent,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9984985952222889, 0.001501404777711092]","[0.512280701754386, 0.48771929824561405]",2.4787600544559814,3.171605573410304,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,values_reflection,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9975268960704253, 0.0024731039295745848]","[0.512280701754386, 0.48771929824561405]",2.23585138040683,2.9286968993611526,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,ai_opinion_simulator,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9997040043725633, 0.0002959956274367209]","[0.512280701754386, 0.48771929824561405]",3.270106335473338,3.962951854427662,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,civic_participant,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9997965612969951, 0.00020343870300484183]","[0.512280701754386, 0.48771929824561405]",3.4529438598768096,4.145789378831133,Important
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,ai_research_assistant,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.16331958859520496, 0.8294053325845123, 0.004068606147705867, 0.0021777679387021886, 0.0010287047338746582]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",1.9448465065487595,3.25609680323004,Disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,survey_respondent,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.1616840351613607, 0.821099318877547, 0.008557228853192945, 0.0027781254609391508, 0.0058812916469602764]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",1.5612875268118522,2.8725378234931327,Disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,values_reflection,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.11982248635493316, 0.6895308211733779, 0.0759122871704793, 0.004282679204130738, 0.11045172609707883]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",0.6367108776169154,1.947961174298196,Disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,ai_opinion_simulator,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.13262473382383563, 0.864821797052361, 0.0015024426538012565, 0.0009112775339904758, 0.00013974893601163761]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",2.5045983379143184,3.8158486345955986,Disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,civic_participant,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.2090132172799974, 0.7295278326913038, 0.019691529691622762, 0.004978799595045247, 0.036788620742030806]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",1.1239494750030248,2.4351997716843052,Disagree
