question_id,question,sub_question,column_name,question_format,system_prompt_id,subpopulation,split,model_answer,model_reasoning,categories,model_distribution,true_distribution,kl_divergence,cross_entropy,expected_text
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,ai_research_assistant,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9124731804762451, 0.08498237706933141, 0.0012122087936727818, 0.0012122087936727818, 0.00012002486707781421]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.02660635956425764,0.3539735969633387,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,survey_respondent,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.6956527248330908, 0.2903296152819665, 0.006827897292725353, 0.006827897292725353, 0.0003618652994919732]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.17178946076504423,0.49915669827448256,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,values_reflection,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.6290534404698277, 0.2317854666690126, 0.040278274577576025, 0.040278274577576025, 0.05860454370600768]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.24584763678667892,0.5732148748048468,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,ai_opinion_simulator,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.7038221791031302, 0.293690383868317, 0.00120024575870544, 0.00120024575870544, 8.694551114201287e-05]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.19188767990197758,0.5192549172688169,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,no_persona,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.6782060807028193, 0.2203969968590544, 0.033798974146042084, 0.033798974146042084, 0.033798974146042084]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.18268438082141095,0.5100516187845408,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,ai_research_assistant,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.5600464376927381, 0.4367199713699306, 0.0015750579617430853, 0.0015750579617430853, 8.347501384513059e-05]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.07377656561557562,0.8684374037705478,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,survey_respondent,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.46190929495326033, 0.5228690799647288, 0.0074660670541635945, 0.0074660670541635945, 0.00028949097368373205]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.06548849410846226,0.8601493325433998,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,values_reflection,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.43480530832536124, 0.43535640727700875, 0.03153711048669281, 0.03153711048669281, 0.06676406342424444]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.1238893902471493,0.9185502293702461,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,ai_opinion_simulator,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.29366932578902033, 0.7038582804704003, 0.001200159269917425, 0.001200159269917425, 7.207520074449192e-05]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.2747278691957802,1.069388707308885,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,no_persona,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.3581718673239309, 0.5207861203853718, 0.029400537236404133, 0.029400537236404133, 0.06224093781788911]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.1700689195258928,0.9647297586349592,Very important
