question_id,question,sub_question,column_name,question_format,system_prompt_id,subpopulation,model_answer,model_reasoning,categories,model_distribution,true_distribution,kl_divergence,cross_entropy,expected_text
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,ai_research_assistant,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9998601214555615, 0.00013987854443860473]","[0.512280701754386, 0.48771929824561405]",3.6356061823427765,4.3284517012971,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,survey_respondent,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9984985951798796, 0.0015014048201204477]","[0.512280701754386, 0.48771929824561405]",2.4787600407014003,3.1716055596557235,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,values_reflection,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9971985358150391, 0.002801464184960898]","[0.512280701754386, 0.48771929824561405]",2.1752169555212277,2.8680624744755505,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,ai_opinion_simulator,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9997040049322733, 0.00029599506772676887]","[0.512280701754386, 0.48771929824561405]",3.270107257435294,3.9629527763896175,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,civic_participant,cluster_0,Important,,"['Important', 'Not mentioned']","[0.9997965626499705, 0.00020343735002951413]","[0.512280701754386, 0.48771929824561405]",3.4529471027864878,4.145792621740811,Important
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,ai_research_assistant,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.1633391631419925, 0.8295047032567745, 0.004069704181567559, 0.0021783556738755594, 0.0009080737457899039]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",1.9500823851271085,3.261332681808389,Disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,survey_respondent,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.17946526162676074, 0.8043075135231307, 0.007559218493211796, 0.0027808810749755876, 0.005887125281921193]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",1.607898733102272,2.9191490297835525,Disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,values_reflection,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.10764869086574405, 0.7019576312158654, 0.07581154105640157, 0.004276995495949363, 0.11030514136603957]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",0.6402879803015425,1.9515382769828231,Disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,ai_opinion_simulator,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.13262479791539852, 0.864822318076648, 0.0015020984150924495, 0.0009110687426593243, 0.00013971685020176968]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",2.5047188841757455,3.815969180857026,Disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,civic_participant,cluster_0,Agree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.20618207137301722, 0.7196461193245794, 0.02201048689555382, 0.00556512128330903, 0.0465962011235405]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",1.0662725981501697,2.37752289483145,Disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,ai_research_assistant,cluster_0,Strongly disagree,,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.011908785516434792, 0.011908785516434792, 0.23919440822905771, 0.736316173033057, 0.0006718477050157484]","[0.0018083182640144665, 0.027124773960216998, 0.3996383363471971, 0.546112115732369, 0.02531645569620253]",0.15272790887230234,1.0519729412919594,Strongly disagree
