question_id,question,sub_question,column_name,question_format,system_prompt_id,subpopulation,split,model_answer,model_reasoning,categories,model_distribution,true_distribution,kl_divergence,cross_entropy,expected_text
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,ai_research_assistant_letter,cluster_0,train,A,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.978506649791561, 0.013957648852058316, 0.0035290462941390084, 0.00311437242365532, 0.0008922826385863453]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.05166535259690121,0.3790325901965907,A
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,survey_respondent_letter,cluster_0,train,A,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9677967027178476, 0.020085981781563702, 0.005754730130064388, 0.005078531514992069, 0.0012840538555322614]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.03113731099417848,0.35850454863026743,A
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,values_reflection_letter,cluster_0,train,A,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9590659108003814, 0.019904778549107313, 0.010654257660376058, 0.007322557063453052, 0.0030524959266821673]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.03021771574707728,0.35758495346975994,A
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,ai_opinion_simulator_letter,cluster_0,train,A,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9634788279143779, 0.02265884801785531, 0.006491868648441557, 0.005729053974235718, 0.0016414014450894692]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.025853869347356978,0.3532211070079987,A
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,no_persona_letter,cluster_0,train,A,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.7966648549082568, 0.07410137455137884, 0.09514804833546861, 0.024057194082750366, 0.01002852812214547]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.08824796994867473,0.4156152077903048,A
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,ai_research_assistant_letter,cluster_0,train,A,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9560643346622825, 0.0327147188608833, 0.006441911630602008, 0.003907216911119522, 0.0008718179351127523]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.714001024738354,1.508661863218783,A
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,survey_respondent_letter,cluster_0,train,A,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9473667892372857, 0.03673339404190647, 0.009287656502092113, 0.005633248425398259, 0.000978911793317466]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.6626928078824843,1.4573536464110854,A
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,values_reflection_letter,cluster_0,train,A,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9537853422698398, 0.02541751634101021, 0.012006387435786895, 0.006426556090231749, 0.002364197863131385]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.7921175075739612,1.5867783462039124,A
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,ai_opinion_simulator_letter,cluster_0,train,A,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9361813948324478, 0.04660972190020267, 0.010400037191627793, 0.00556673876384132, 0.001242107311880386]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.5742049317318098,1.3688657702830356,A
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,no_persona_letter,cluster_0,train,A,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.7713000536744102, 0.11828269768382976, 0.08129442998456995, 0.020554450818475928, 0.008568367838714118]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.2608654952697643,1.0555263341447438,A
