question_id,question,sub_question,column_name,question_format,system_prompt_id,subpopulation,split,model_answer,model_reasoning,categories,model_distribution,true_distribution,kl_divergence,cross_entropy,expected_text
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,ai_research_assistant,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9124736728695612, 0.08499559501056635, 0.0012123970484652882, 0.0012123970484652882, 0.00010593802294190094]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.02659372920468321,0.3539609665912798,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,survey_respondent,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.6956338352089083, 0.29032537022618277, 0.006827798272531119, 0.006827798272531119, 0.0003851980198467656]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.17181563473632447,0.49918287225201136,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,values_reflection,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.5801148421679532, 0.27446342890555153, 0.042090330039956235, 0.042090330039956235, 0.06124106884658289]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.3095967023491102,0.6369639403716786,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,ai_opinion_simulator,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.7038222039769715, 0.29369035920337755, 0.001200245657905446, 0.001200245657905446, 8.69455038400858e-05]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.19188765387291798,0.5192548912397573,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,no_persona,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.6782060807028193, 0.2203969968590544, 0.033798974146042084, 0.033798974146042084, 0.033798974146042084]","[0.9219600725952813, 0.05989110707803993, 0.012704174228675136, 0.0054446460980036296, 0.0]",0.18268438082141095,0.5100516187845408,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,ai_research_assistant,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.560046907022153, 0.4367195054900147, 0.0015750562815179548, 0.0015750562815179548, 8.3474924796461e-05]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.07377652357665469,0.8684373617316268,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,survey_respondent,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.4618994615444447, 0.5228605639149974, 0.007465909891953258, 0.007465909891953258, 0.00030815475665142467]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.06550784933128617,0.8601686877724695,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,values_reflection,cluster_0,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.43801223386813337, 0.4386380445770036, 0.028041195376471074, 0.028041195376471074, 0.06726733080192088]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.1205794366938656,0.9152402758059645,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,ai_opinion_simulator,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.29364807845086005, 0.7038797066892991, 0.0012000724369130395, 0.0012000724369130395, 7.206998601476462e-05]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.27476064341858303,1.0694214815316734,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,no_persona,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.35818587783677586, 0.5207673751046047, 0.029401687289331728, 0.029401687289331728, 0.062243372479955934]","[0.5821167883211679, 0.38503649635036497, 0.032846715328467155, 0.0, 0.0]",0.17005872396478458,0.9647195630738588,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Leisure time,Q3,matrix_single_select,ai_research_assistant,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.33702017996011474, 0.6289453359661233, 0.016779246741024042, 0.016779246741024042, 0.00047599059171381675]","[0.5201465201465202, 0.4340659340659341, 0.038461538461538464, 0.0018315018315018315, 0.005494505494505495]",0.1060421764469634,0.9737348790325189,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Leisure time,Q3,matrix_single_select,survey_respondent,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.2843938604367482, 0.6016889658519881, 0.056000471476387856, 0.056000471476387856, 0.0019162307584881188]","[0.5201465201465202, 0.4340659340659341, 0.038461538461538464, 0.0018315018315018315, 0.005494505494505495]",0.1573706230283704,1.0250633256139259,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Leisure time,Q3,matrix_single_select,values_reflection,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.19061109611948576, 0.4568872734345085, 0.10202677976302571, 0.10202677976302571, 0.14844807091995432]","[0.5201465201465202, 0.4340659340659341, 0.038461538461538464, 0.0018315018315018315, 0.005494505494505495]",0.4369230565135117,1.3046157590990672,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Leisure time,Q3,matrix_single_select,ai_opinion_simulator,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.19605116879967485, 0.7750277324452263, 0.014201897341131274, 0.014201897341131274, 0.0005173040728362269]","[0.5201465201465202, 0.4340659340659341, 0.038461538461538464, 0.0018315018315018315, 0.005494505494505495]",0.3034460856664967,1.1711387882520523,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Leisure time,Q3,matrix_single_select,no_persona,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.2878600750757481, 0.4744108868867951, 0.08247330216531945, 0.08247330216531945, 0.07278243370681782]","[0.5201465201465202, 0.4340659340659341, 0.038461538461538464, 0.0018315018315018315, 0.005494505494505495]",0.21865027462090214,1.0863429772064577,Very important
1,"Please indicate, for each of the following, how important it is in your life.",Politics,Q4,matrix_single_select,ai_research_assistant,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.03761288483488732, 0.5187164277898918, 0.2164472077231379, 0.2164472077231379, 0.010776271928945116]","[0.10825688073394496, 0.48256880733944957, 0.3486238532110092, 0.05871559633027523, 0.001834862385321101]",0.16590635913443877,1.3035924432412185,Rather important
1,"Please indicate, for each of the following, how important it is in your life.",Politics,Q4,matrix_single_select,survey_respondent,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.06705140943810282, 0.3856084018861134, 0.2651934687076576, 0.2651934687076576, 0.016953251260468483]","[0.10825688073394496, 0.48256880733944957, 0.3486238532110092, 0.05871559633027523, 0.001834862385321101]",0.16285287525004757,1.300538959356827,Rather important
1,"Please indicate, for each of the following, how important it is in your life.",Politics,Q4,matrix_single_select,values_reflection,cluster_0,train,Not at all important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.06064820566996061, 0.14548748220510377, 0.15606703174668932, 0.2887909537349451, 0.3490063266433012]","[0.10825688073394496, 0.48256880733944957, 0.3486238532110092, 0.05871559633027523, 0.001834862385321101]",0.8183703877917791,1.9560564718985587,Rather important
1,"Please indicate, for each of the following, how important it is in your life.",Politics,Q4,matrix_single_select,ai_opinion_simulator,cluster_0,train,Rather important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.06580374459914234, 0.7071208575049346, 0.10849203341232468, 0.10849203341232468, 0.010091331071273616]","[0.10825688073394496, 0.48256880733944957, 0.3486238532110092, 0.05871559633027523, 0.001834862385321101]",0.23729146674426335,1.374977550851043,Rather important
1,"Please indicate, for each of the following, how important it is in your life.",Politics,Q4,matrix_single_select,no_persona,cluster_0,train,Not very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.08593394433474043, 0.26469518323385166, 0.2279339953128988, 0.15674169388465742, 0.26469518323385166]","[0.10825688073394496, 0.48256880733944957, 0.3486238532110092, 0.05871559633027523, 0.001834862385321101]",0.396172277006511,1.5338583611132905,Rather important
