question_id,question,sub_question,column_name,question_format,system_prompt_id,model_answer,categories,model_distribution,true_distribution,kl_divergence,cross_entropy,expected_text
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,ai_research_assistant,Important,"['Important', 'Not mentioned']","[0.8165795926401128, 0.18342040735988724]","[0.5316934720908231, 0.46830652790917693]",0.21083654874578306,0.9019734294961,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,survey_respondent,Not mentioned,"['Important', 'Not mentioned']","[0.0003811730742864229, 0.9996188269257136]","[0.5316934720908231, 0.46830652790917693]",3.4946693287433357,4.185806209493652,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,values_reflection,Important,"['Important', 'Not mentioned']","[0.8173425176924289, 0.182657482307571]","[0.5316934720908231, 0.46830652790917693]",0.21229197523054658,0.9034288559808635,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,ai_opinion_simulator,Important,"['Important', 'Not mentioned']","[0.7292536463715297, 0.2707463536284703]","[0.5316934720908231, 0.46830652790917693]",0.08861325048088298,0.7797501312312,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,civic_participant,Feeling of responsibility: Important,"['Important', 'Not mentioned']","[1.8915476943762897e-05, 0.9999810845230562]","[0.5316934720908231, 0.46830652790917693]",5.091320329344201,5.782457210094519,Important
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,ai_research_assistant,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.10157874927530086, 0.5845453424049615, 0.15902160827805137, 0.10929384646560242, 0.04556045357608383]","[0.10979228486646884, 0.45004945598417406, 0.3135509396636993, 0.06627101879327399, 0.06033630069238378]",0.08752956150207782,1.4023249274056193,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,survey_respondent,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.10843916468995073, 0.37848988606849177, 0.1927897694067036, 0.15014480548343964, 0.1701363743514143]","[0.10979228486646884, 0.45004945598417406, 0.3135509396636993, 0.06627101879327399, 0.06033630069238378]",0.11504665599163556,1.429842021895177,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,values_reflection,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.19488375273476066, 0.41256890777702865, 0.1623600400578632, 0.1432822324545751, 0.08690506697577233]","[0.10979228486646884, 0.45004945598417406, 0.3135509396636993, 0.06627101879327399, 0.06033630069238378]",0.1093807784464089,1.4241761443499503,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,ai_opinion_simulator,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.11099458462665202, 0.43899208494412567, 0.1944689722307337, 0.15145260591094317, 0.10409175228754547]","[0.10979228486646884, 0.45004945598417406, 0.3135509396636993, 0.06627101879327399, 0.06033630069238378]",0.07210155565326036,1.3868969215568017,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,civic_participant,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.09184101227948673, 0.4664071312540191, 0.2458248084887092, 0.1161194173640317, 0.07980763061375323]","[0.10979228486646884, 0.45004945598417406, 0.3135509396636993, 0.06627101879327399, 0.06033630069238378]",0.025789919085801586,1.3405852849893432,Agree
