question_id,question,sub_question,column_name,question_format,system_prompt_id,model_answer,categories,model_distribution,true_distribution,kl_divergence,cross_entropy,expected_text,subpopulation
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,ai_research_assistant,Important,"['Important', 'Not mentioned']","[0.9998765560255206, 0.00012344397447932502]","[0.512280701754386, 0.48771929824561405]",3.696556383387024,4.389401902341347,Important,cluster_0
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,survey_respondent,Important,"['Important', 'Not mentioned']","[0.9984986002376668, 0.0015013997623332738]","[0.512280701754386, 0.48771929824561405]",2.47876168109081,3.1716072000451336,Important,cluster_0
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,values_reflection,Important,"['Important', 'Not mentioned']","[0.9978168956537871, 0.0021831043462128873]","[0.512280701754386, 0.48771929824561405]",2.296533816788326,2.989379335742649,Important,cluster_0
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,ai_opinion_simulator,Important,"['Important', 'Not mentioned']","[0.9997694666142993, 0.00023053338570057602]","[0.512280701754386, 0.48771929824561405]",3.3919777374743205,4.084823256428644,Important,cluster_0
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,civic_participant,Important,"['Important', 'Not mentioned']","[0.9997694795787517, 0.0002305204212482339]","[0.512280701754386, 0.48771929824561405]",3.3920051593592344,4.084850678313558,Important,cluster_0
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,ai_research_assistant,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.1634350241550057, 0.8299915503786051, 0.0035927016608949414, 0.0021790837085332825, 0.0008016400969610182]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",2.0037501793411305,3.315000476022411,Disagree,cluster_0
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,survey_respondent,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.1616798879698691, 0.8210782577003836, 0.008569758226224355, 0.002782193152808252, 0.0058899029507147385]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",1.5605283389209554,2.871778635602236,Disagree,cluster_0
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,values_reflection,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.12254063552015329, 0.7051727006073925, 0.06839705685229339, 0.004372476514920937, 0.09951713050523989]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",0.6692866662645501,1.9805369629458307,Disagree,cluster_0
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,ai_opinion_simulator,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.14765131260415196, 0.8496746259664728, 0.0015020254094029353, 0.0010323259603542583, 0.00013971005961808808]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",2.4900017952310063,3.801252091912288,Disagree,cluster_0
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,civic_participant,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.22891785577539303, 0.7051166363775535, 0.019575266313559582, 0.004949402422490675, 0.041440839111003165]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",1.1264063308723815,2.4376566275536624,Disagree,cluster_0
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,ai_research_assistant,Strongly disagree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.011909485895129832, 0.011909485895129832, 0.2392084471986803, 0.736379642622573, 0.0005929383884869402]","[0.0018083182640144665, 0.027124773960216998, 0.3996383363471971, 0.546112115732369, 0.02531645569620253]",0.1558187480416926,1.05506378046135,Strongly disagree,cluster_0
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,survey_respondent,Strongly disagree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.029187061697510498, 0.029187061697510498, 0.2769191312254776, 0.6641009872394907, 0.0006057581400106531]","[0.0018083182640144665, 0.027124773960216998, 0.3996383363471971, 0.546112115732369, 0.02531645569620253]",0.1272584531747655,1.0265034855944226,Strongly disagree,cluster_0
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,values_reflection,Disagree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.024004206574870735, 0.024004206574870735, 0.545680630758875, 0.3754889447418264, 0.03082201134955702]","[0.0018083182640144665, 0.027124773960216998, 0.3996383363471971, 0.546112115732369, 0.02531645569620253]",0.0737516085073023,0.9729966409269596,Strongly disagree,cluster_0
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,ai_opinion_simulator,Strongly disagree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.04135603801455894, 0.04135603801455894, 0.6469173174095136, 0.26961314412263204, 0.0007574624387365218]","[0.0018083182640144665, 0.027124773960216998, 0.3996383363471971, 0.546112115732369, 0.02531645569620253]",0.2647177347300626,1.1639627671497197,Strongly disagree,cluster_0
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,civic_participant,Disagree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.020845142420610144, 0.020845142420610144, 0.4740299100418496, 0.47443325470271075, 0.009846550414219385]","[0.0018083182640144665, 0.027124773960216998, 0.3996383363471971, 0.546112115732369, 0.02531645569620253]",0.0352463773200561,0.9344914097397132,Strongly disagree,cluster_0
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,ai_research_assistant,Agree,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.24091563025307486, 0.7420724055887085, 0.004571681845891303, 0.004571681845891303, 0.0075374291021946165, 0.0003311713642394144]","[0.30018083182640143, 0.33815551537070526, 0.17721518987341772, 0.06690777576853527, 0.0216998191681736, 0.09584086799276673]",1.194108819322482,2.717455227513416,Agree,cluster_0
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,survey_respondent,Agree,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.39506747521806473, 0.5748197846371732, 0.008449751547870336, 0.003991380010185563, 0.015786214170615417, 0.0018853944160907507]","[0.30018083182640143, 0.33815551537070526, 0.17721518987341772, 0.06690777576853527, 0.0216998191681736, 0.09584086799276673]",0.8494913695944494,2.3728377777853837,Agree,cluster_0
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,values_reflection,Agree strongly,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.8654879430206752, 0.11716762529241613, 0.0011525721975072744, 0.0019002702980478326, 0.012391318893305709, 0.0019002702980478326]","[0.30018083182640143, 0.33815551537070526, 0.17721518987341772, 0.06690777576853527, 0.0216998191681736, 0.09584086799276673]",1.559092076363332,3.082438484554266,Agree,cluster_0
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,ai_opinion_simulator,Agree,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.05076391225008366, 0.7940811331656322, 0.08939122380801251, 0.047847674152537545, 0.015533861767417957, 0.0023821948563160825]","[0.30018083182640143, 0.33815551537070526, 0.17721518987341772, 0.06690777576853527, 0.0216998191681736, 0.09584086799276673]",0.7498681306110624,2.273214538801996,Agree,cluster_0
6,How much do you agree or disagree with the following statements?,Homosexual couples are as good parents as other couples,Q36,matrix_likert,civic_participant,Agree strongly,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.6400851011553997, 0.34263270492853065, 0.00313438928782838, 0.0013066078489828202, 0.010940093576715625, 0.0019011032025427587]","[0.30018083182640143, 0.33815551537070526, 0.17721518987341772, 0.06690777576853527, 0.0216998191681736, 0.09584086799276673]",1.1372246032542224,2.660571011445156,Agree,cluster_0
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,ai_research_assistant,Trust somewhat,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.001021176006979961, 0.9882690545820194, 0.0035699231370002215, 0.0035699231370002215, 0.0035699231370002215]","[0.10771992818671454, 0.7145421903052065, 0.06104129263913824, 0.0, 0.11669658886894076]",0.8503081015816394,1.7518679532718684,Trust somewhat,cluster_0
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,survey_respondent,Trust somewhat,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.00458301274803545, 0.9896553627294686, 0.0019205415074986677, 0.0019205415074986677, 0.0019205415074986677]","[0.10771992818671454, 0.7145421903052065, 0.06104129263913824, 0.0, 0.11669658886894076]",0.7977618577184997,1.6993217093467352,Trust somewhat,cluster_0
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,values_reflection,Trust somewhat,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.0031234833207895813, 0.981369278724489, 0.005169079318240443, 0.005169079318240443, 0.005169079318240443]","[0.10771992818671454, 0.7145421903052065, 0.06104129263913824, 0.0, 0.11669658886894076]",0.6690943062180286,1.5706541579452729,Trust somewhat,cluster_0
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,ai_opinion_simulator,Trust somewhat,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.000781104323531996, 0.9706380339992421, 0.009526953892408603, 0.009526953892408603, 0.009526953892408603]","[0.10771992818671454, 0.7145421903052065, 0.06104129263913824, 0.0, 0.11669658886894076]",0.7175758109217554,1.6191356627101428,Trust somewhat,cluster_0
17,Here are some questions about how much you trust people from various groups. Please indicate how much you trust...,People of another nationality,Q63,matrix_single_select,civic_participant,Trust somewhat,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]","[0.0018885473163654809, 0.9782916282820783, 0.00660660813385212, 0.00660660813385212, 0.00660660813385212]","[0.10771992818671454, 0.7145421903052065, 0.06104129263913824, 0.0, 0.11669658886894076]",0.6819244169583827,1.583484268710165,Trust somewhat,cluster_0
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Trade unions,Q68,matrix_single_select,ai_research_assistant,Not very much,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.021623078027754136, 0.49213895817705827, 0.4339948506149881, 0.051871067660302195, 0.00037204551989727914]","[0.03411131059245961, 0.36804308797127466, 0.4129263913824057, 0.10771992818671454, 0.07719928186714542]",0.3786496648638789,1.6647482870388826,Not very much,cluster_0
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Trade unions,Q68,matrix_single_select,survey_respondent,Not very much,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.04207431602831891, 0.3108894443964734, 0.5124131619870237, 0.12959801713712987, 0.005025060451054144]","[0.03411131059245961, 0.36804308797127466, 0.4129263913824057, 0.10771992818671454, 0.07719928186714542]",0.1568070664420734,1.442905688617077,Not very much,cluster_0
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Trade unions,Q68,matrix_single_select,values_reflection,Not very much,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.032310911103125305, 0.2106935817999123, 0.5050770180904904, 0.1640883264938908, 0.0878301625125811]","[0.03411131059245961, 0.36804308797127466, 0.4129263913824057, 0.10771992818671454, 0.07719928186714542]",0.0686657952317162,1.35476441740672,Not very much,cluster_0
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Trade unions,Q68,matrix_single_select,ai_opinion_simulator,Not very much,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.0051795075909680955, 0.28279159997224895, 0.6781967131193045, 0.033774640185580476, 5.7539131897864313e-05]","[0.03411131059245961, 0.36804308797127466, 0.4129263913824057, 0.10771992818671454, 0.07719928186714542]",0.6372925118656729,1.9233911340406769,Not very much,cluster_0
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Trade unions,Q68,matrix_single_select,civic_participant,Not very much,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.012291367217865353, 0.19226933274244584, 0.5224835169505766, 0.21786969696929342, 0.05508608611981874]","[0.03411131059245961, 0.36804308797127466, 0.4129263913824057, 0.10771992818671454, 0.07719928186714542]",0.1267987339683098,1.4128973561433134,Not very much,cluster_0
18,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all?",Elections,Q76,matrix_single_select,ai_research_assistant,Quite a lot,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]","[0.3947183237170381, 0.5735493214881937, 0.022268482688212528, 0.009282884668584176, 0.00018098743797148278]","[0.2715827338129496, 0.5701438848920863, 0.1474820143884892, 0.01079136690647482, 0.0]",0.1755030372268511,1.1810147631895538,Quite a lot,cluster_0
