question_id,question,sub_question,column_name,question_format,system_prompt_id,subpopulation,split,model_answer,model_reasoning,categories,model_distribution,true_distribution,kl_divergence,cross_entropy,expected_text,is_correct
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,ai_research_assistant,overall,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9999903196986303, 6.893997127575597e-07, 4.495450828499583e-06, 4.495450828499583e-06, 0.0]","[0.9092702169625246, 0.07297830374753451, 0.01282051282051282, 0.004930966469428008, 0.0]",0.8943880413541072,1.2539485487542905,Very important,True
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,survey_respondent,overall,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9999618119243291, 4.785061845302728e-06, 1.670150691277174e-05, 1.670150691277174e-05, 0.0]","[0.9092702169625246, 0.07297830374753451, 0.01282051282051282, 0.004930966469428008, 0.0]",0.7297257628592154,1.0892862702593986,Very important,True
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,values_reflection,overall,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9989962761253113, 0.0007095572643364133, 0.00013972010957378827, 0.00013972010957378827, 1.4726391204776e-05]","[0.9092702169625246, 0.07297830374753451, 0.01282051282051282, 0.004930966469428008, 0.0]",0.32806856311764626,0.6876290717078276,Very important,True
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,ai_opinion_simulator,overall,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9999665549371892, 3.966961647750474e-06, 1.4739050581518556e-05, 1.4739050581518556e-05, 0.0]","[0.9092702169625246, 0.07297830374753451, 0.01282051282051282, 0.004930966469428008, 0.0]",0.745623678614858,1.105184186015041,Very important,True
1,"Please indicate, for each of the following, how important it is in your life.",Family,Q1,matrix_single_select,no_persona,overall,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9952345798538906, 0.0016956128491966299, 0.0013205446147402714, 0.0013205446147402714, 0.00042871806743221045]","[0.9092702169625246, 0.07297830374753451, 0.01282051282051282, 0.004930966469428008, 0.0]",0.22805057138690046,0.5876110803141976,Very important,True
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,ai_research_assistant,overall,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9998433540851838, 4.006306975184891e-05, 5.829142253219032e-05, 5.829142253219032e-05, 0.0]","[0.5606361829025845, 0.38469184890656066, 0.04671968190854871, 0.003976143141153081, 0.003976143141153081]",3.601937956244355,4.480955380247218,Very important,True
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,survey_respondent,overall,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9996270242910062, 0.00020339794919436958, 8.478887989963154e-05, 8.478887989963154e-05, 0.0]","[0.5606361829025845, 0.38469184890656066, 0.04671968190854871, 0.003976143141153081, 0.003976143141153081]",2.9580505859725426,3.8370680099754053,Very important,True
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,values_reflection,overall,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.985247973427196, 0.014056051796061854, 0.00033056665387868304, 0.00033056665387868304, 3.4841468984823396e-05]","[0.5606361829025845, 0.38469184890656066, 0.04671968190854871, 0.003976143141153081, 0.003976143141153081]",1.2170367651031715,2.096054189106034,Very important,True
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,ai_opinion_simulator,overall,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9996198723457805, 0.0002304774855262052, 7.482508434663085e-05, 7.482508434663085e-05, 0.0]","[0.5606361829025845, 0.38469184890656066, 0.04671968190854871, 0.003976143141153081, 0.003976143141153081]",2.916309979168023,3.795327403170886,Very important,True
1,"Please indicate, for each of the following, how important it is in your life.",Friends,Q2,matrix_single_select,no_persona,overall,train,Very important,,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]","[0.9256559312855872, 0.06705951406525071, 0.002946389418302877, 0.002946389418302877, 0.0013917758125563335]","[0.5606361829025845, 0.38469184890656066, 0.04671968190854871, 0.003976143141153081, 0.003976143141153081]",0.5253630580566537,1.4043804820595165,Very important,True
