question_id,question,sub_question,column_name,question_format,system_prompt_id,subpopulation,model_answer,categories,model_distribution,true_distribution,kl_divergence,cross_entropy,expected_text
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,ai_research_assistant,cluster_0,Important,"['Important', 'Not mentioned']","[0.49988959460276683, 0.5001104053972332]","[0.512280701754386, 0.48771929824561405]",0.0003071094074362582,0.6931526283617595,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,survey_respondent,cluster_0,Important,"['Important', 'Not mentioned']","[0.9999999963825623, 3.6174376810343007e-09]","[0.512280701754386, 0.48771929824561405]",8.787198286290666,9.480043805244991,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,values_reflection,cluster_0,Important,"['Important', 'Not mentioned']","[0.9999999936511916, 6.348808398979779e-09]","[0.512280701754386, 0.48771929824561405]",8.512855602383443,9.205701121337766,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,ai_opinion_simulator,cluster_0,Important,"['Important', 'Not mentioned']","[0.4999958873104902, 0.5000041126895097]","[0.512280701754386, 0.48771929824561405]",0.0003018636663037512,0.6931473826206269,Important
2,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important?",Feeling of responsibility,Q10,matrix_multi_select,civic_participant,cluster_0,Important,"['Important', 'Not mentioned']","[0.49999681116912603, 0.500003188830874]","[0.512280701754386, 0.48771929824561405]",0.0003018182702829164,0.6931473372246062,Important
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,ai_research_assistant,cluster_0,Agree strongly,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[0.49991536101520684, 6.854064816889229e-07, 1.1300556589595999e-06, 3.2699244714538455e-06, 0.500079553598181]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",10.730271702273448,12.041521998954728,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,survey_respondent,cluster_0,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[8.369962710410708e-09, 0.3333319206215978, 1.771921964587517e-08, 0.3333340266446099, 0.3333340266446099]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",7.896513668028353,9.207763964709635,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,values_reflection,cluster_0,Don't know,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[6.653911437819666e-10, 6.653911437819666e-10, 7.224909311688605e-08, 0.500000559256253, 0.49999936716387156]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",15.179789890766129,16.49104018744741,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,ai_opinion_simulator,cluster_0,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[5.566733295335319e-06, 0.33330337902317575, 4.56980974991483e-07, 0.333345298631277, 0.333345298631277]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",6.041933118583143,7.353183415264423,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",One of my main goals in life has been to make my parents proud,Q27,matrix_likert,civic_participant,cluster_0,Agree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[1.4544768739623406e-09, 0.33333083750338094, 1.56371224190242e-08, 0.3333345727025099, 0.3333345727025099]","[0.09057971014492754, 0.3822463768115942, 0.3894927536231884, 0.09420289855072464, 0.043478260869565216]",8.103716902772593,9.414967199453875,Agree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,ai_research_assistant,cluster_0,Strongly disagree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[3.889137060822442e-08, 3.889137060822442e-08, 2.7536656079840333e-05, 0.9999723441615305, 4.1399648512175796e-08]","[0.0018083182640144665, 0.027124773960216998, 0.3996383363471971, 0.546112115732369, 0.02531645569620253]",4.221019879717222,5.1202649121368795,Strongly disagree
4,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree.",Men make better political leaders than women do,Q29,matrix_likert,survey_respondent,cluster_0,Strongly disagree,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]","[3.829067046177425e-09, 3.829067046177425e-09, 2.7111336193160643e-06, 0.499989342396721, 0.5000079388115256]","[0.0018083182640144665, 0.027124773960216998, 0.3996383363471971, 0.546112115732369, 0.02531645569620253]",5.180213912224549,6.079458944644207,Strongly disagree
